"GEO_ID","id"
"S0802_C01_031M","Margin of Error!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR WORKERS!!Workers 16 years and over with earnings!!$15,000 to $24,999"
"S0802_C01_032E","Estimate!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR WORKERS!!Workers 16 years and over with earnings!!$25,000 to $34,999"
"S0802_C01_032M","Margin of Error!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR WORKERS!!Workers 16 years and over with earnings!!$25,000 to $34,999"
"S0802_C01_033E","Estimate!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR WORKERS!!Workers 16 years and over with earnings!!$35,000 to $49,999"
"S0802_C01_033M","Margin of Error!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR WORKERS!!Workers 16 years and over with earnings!!$35,000 to $49,999"
"S0802_C01_034E","Estimate!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR WORKERS!!Workers 16 years and over with earnings!!$50,000 to $64,999"
"S0802_C01_034M","Margin of Error!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR WORKERS!!Workers 16 years and over with earnings!!$50,000 to $64,999"
"S0802_C01_035E","Estimate!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR WORKERS!!Workers 16 years and over with earnings!!$65,000 to $74,999"
"S0802_C01_035M","Margin of Error!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR WORKERS!!Workers 16 years and over with earnings!!$65,000 to $74,999"
"S0802_C01_036E","Estimate!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR WORKERS!!Workers 16 years and over with earnings!!$75,000 or more"
"S0802_C01_036M","Margin of Error!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR WORKERS!!Workers 16 years and over with earnings!!$75,000 or more"
"S0802_C01_037E","Estimate!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR WORKERS!!Workers 16 years and over with earnings!!Median earnings (dollars)"
"S0802_C01_037M","Margin of Error!!Total!!EARNINGS IN THE PAST 12 MONTHS (IN 2019 INFLATION-ADJUSTED DOLLARS) FOR WORKERS!!Workers 16 years and over with earnings!!Median earnings (dollars)"
"S0802_C01_038E","Estimate!!Total!!POVERTY STATUS IN THE PAST 12 MONTHS!!Workers 16 years and over for whom poverty status is determined"
"S0802_C01_038M","Margin of Error!!Total!!POVERTY STATUS IN THE PAST 12 MONTHS!!Workers 16 years and over for whom poverty status is determined"
"S0802_C01_039E","Estimate!!Total!!POVERTY STATUS IN THE PAST 12 MONTHS!!Workers 16 years and over for whom poverty status is determined!!Below 100 percent of the poverty level"
"S0802_C01_039M","Margin of Error!!Total!!POVERTY STATUS IN THE PAST 12 MONTHS!!Workers 16 years and over for whom poverty status is determined!!Below 100 percent of the poverty level"
"S0802_C01_040E","Estimate!!Total!!POVERTY STATUS IN THE PAST 12 MONTHS!!Workers 16 years and over for whom poverty status is determined!!100 to 149 percent of the poverty level"
"S0802_C01_040M","Margin of Error!!Total!!POVERTY STATUS IN THE PAST 12 MONTHS!!Workers 16 years and over for whom poverty status is determined!!100 to 149 percent of the poverty level"
"S0802_C01_041E","Estimate!!Total!!POVERTY STATUS IN THE PAST 12 MONTHS!!Workers 16 years and over for whom poverty status is determined!!At or above 150 percent of the poverty level"
"S0802_C01_041M","Margin of Error!!Total!!POVERTY STATUS IN THE PAST 12 MONTHS!!Workers 16 years and over for whom poverty status is determined!!At or above 150 percent of the poverty level"
"S0802_C01_042E","Estimate!!Total!!Workers 16 years and over"
"S0802_C01_042M","Margin of Error!!Total!!Workers 16 years and over"
"S0802_C01_043E","Estimate!!Total!!Workers 16 years and over!!OCCUPATION!!Management, business, science, and arts occupations"
"S0802_C01_043M","Margin of Error!!Total!!Workers 16 years and over!!OCCUPATION!!Management, business, science, and arts occupations"
"S0802_C01_044E","Estimate!!Total!!Workers 16 years and over!!OCCUPATION!!Service occupations"
"S0802_C01_044M","Margin of Error!!Total!!Workers 16 years and over!!OCCUPATION!!Service occupations"
"S0802_C01_045E","Estimate!!Total!!Workers 16 years and over!!OCCUPATION!!Sales and office occupations"
"S0802_C01_045M","Margin of Error!!Total!!Workers 16 years and over!!OCCUPATION!!Sales and office occupations"
"S0802_C01_046E","Estimate!!Total!!Workers 16 years and over!!OCCUPATION!!Natural resources, construction, and maintenance occupations"
"S0802_C01_046M","Margin of Error!!Total!!Workers 16 years and over!!OCCUPATION!!Natural resources, construction, and maintenance occupations"
"S0802_C01_047E","Estimate!!Total!!Workers 16 years and over!!OCCUPATION!!Production, transportation, and material moving occupations"
"S0802_C01_047M","Margin of Error!!Total!!Workers 16 years and over!!OCCUPATION!!Production, transportation, and material moving occupations"
"S0802_C01_048E","Estimate!!Total!!Workers 16 years and over!!OCCUPATION!!Military specific occupations"
"S0802_C01_048M","Margin of Error!!Total!!Workers 16 years and over!!OCCUPATION!!Military specific occupations"
"S0802_C01_049E","Estimate!!Total!!Workers 16 years and over!!INDUSTRY!!Agriculture, forestry, fishing and hunting, and mining"
"S0802_C01_049M","Margin of Error!!Total!!Workers 16 years and over!!INDUSTRY!!Agriculture, forestry, fishing and hunting, and mining"
"S0802_C01_050E","Estimate!!Total!!Workers 16 years and over!!INDUSTRY!!Construction"
"S0802_C01_050M","Margin of Error!!Total!!Workers 16 years and over!!INDUSTRY!!Construction"
"S0802_C01_051E","Estimate!!Total!!Workers 16 years and over!!INDUSTRY!!Manufacturing"
"S0802_C01_051M","Margin of Error!!Total!!Workers 16 years and over!!INDUSTRY!!Manufacturing"
"S0802_C01_052E","Estimate!!Total!!Workers 16 years and over!!INDUSTRY!!Wholesale trade"
"S0802_C01_052M","Margin of Error!!Total!!Workers 16 years and over!!INDUSTRY!!Wholesale trade"
"S0802_C01_053E","Estimate!!Total!!Workers 16 years and over!!INDUSTRY!!Retail trade"
"S0802_C01_053M","Margin of Error!!Total!!Workers 16 years and over!!INDUSTRY!!Retail trade"
"S0802_C01_054E","Estimate!!Total!!Workers 16 years and over!!INDUSTRY!!Transportation and warehousing, and utilities"
"S0802_C01_054M","Margin of Error!!Total!!Workers 16 years and over!!INDUSTRY!!Transportation and warehousing, and utilities"
"S0802_C01_055E","Estimate!!Total!!Workers 16 years and over!!INDUSTRY!!Information and finance and insurance, and real estate and rental and leasing"
"S0802_C01_055M","Margin of Error!!Total!!Workers 16 years and over!!INDUSTRY!!Information and finance and insurance, and real estate and rental and leasing"
"S0802_C01_056E","Estimate!!Total!!Workers 16 years and over!!INDUSTRY!!Professional, scientific, management, and administrative and waste management services"
"S0802_C01_056M","Margin of Error!!Total!!Workers 16 years and over!!INDUSTRY!!Professional, scientific, management, and administrative and waste management services"
"S0802_C01_057E","Estimate!!Total!!Workers 16 years and over!!INDUSTRY!!Educational services, and health care and social assistance"
"S0802_C01_057M","Margin of Error!!Total!!Workers 16 years and over!!INDUSTRY!!Educational services, and health care and social assistance"
"S0802_C01_058E","Estimate!!Total!!Workers 16 years and over!!INDUSTRY!!Arts, entertainment, and recreation, and accommodation and food services"
"S0802_C01_058M","Margin of Error!!Total!!Workers 16 years and over!!INDUSTRY!!Arts, entertainment, and recreation, and accommodation and food services"
"S0802_C01_059E","Estimate!!Total!!Workers 16 years and over!!INDUSTRY!!Other services (except public administration)"
"S0802_C01_059M","Margin of Error!!Total!!Workers 16 years and over!!INDUSTRY!!Other services (except public administration)"
"S0802_C01_060E","Estimate!!Total!!Workers 16 years and over!!INDUSTRY!!Public administration"
"S0802_C01_060M","Margin of Error!!Total!!Workers 16 years and over!!INDUSTRY!!Public administration"
"S0802_C01_061E","Estimate!!Total!!Workers 16 years and over!!INDUSTRY!!Armed forces"
"S0802_C01_061M","Margin of Error!!Total!!Workers 16 years and over!!INDUSTRY!!Armed forces"
"S0802_C01_062E","Estimate!!Total!!Workers 16 years and over!!CLASS OF WORKER!!Private wage and salary workers"
"S0802_C01_062M","Margin of Error!!Total!!Workers 16 years and over!!CLASS OF WORKER!!Private wage and salary workers"
"S0802_C01_063E","Estimate!!Total!!Workers 16 years and over!!CLASS OF WORKER!!Government workers"
"S0802_C01_063M","Margin of Error!!Total!!Workers 16 years and over!!CLASS OF WORKER!!Government workers"
"S0802_C01_064E","Estimate!!Total!!Workers 16 years and over!!CLASS OF WORKER!!Self-employed workers in own not incorporated business"
"S0802_C01_064M","Margin of Error!!Total!!Workers 16 years and over!!CLASS OF WORKER!!Self-employed workers in own not incorporated business"
"S0802_C01_065E","Estimate!!Total!!Workers 16 years and over!!CLASS OF WORKER!!Unpaid family workers"
"S0802_C01_065M","Margin of Error!!Total!!Workers 16 years and over!!CLASS OF WORKER!!Unpaid family workers"
"S0802_C01_066E","Estimate!!Total!!Workers 16 years and over!!PLACE OF WORK!!Worked in state of residence"
"S0802_C01_066M","Margin of Error!!Total!!Workers 16 years and over!!PLACE OF WORK!!Worked in state of residence"
"S0802_C01_067E","Estimate!!Total!!Workers 16 years and over!!PLACE OF WORK!!Worked in state of residence!!Worked in county of residence"
"S0802_C01_067M","Margin of Error!!Total!!Workers 16 years and over!!PLACE OF WORK!!Worked in state of residence!!Worked in county of residence"
"S0802_C01_068E","Estimate!!Total!!Workers 16 years and over!!PLACE OF WORK!!Worked in state of residence!!Worked outside county of residence"
"S0802_C01_068M","Margin of Error!!Total!!Workers 16 years and over!!PLACE OF WORK!!Worked in state of residence!!Worked outside county of residence"
"S0802_C01_069E","Estimate!!Total!!Workers 16 years and over!!PLACE OF WORK!!Worked outside state of residence"
"S0802_C01_069M","Margin of Error!!Total!!Workers 16 years and over!!PLACE OF WORK!!Worked outside state of residence"
"S0802_C01_070E","Estimate!!Total!!Workers 16 years and over who did not work from home"
"S0802_C01_070M","Margin of Error!!Total!!Workers 16 years and over who did not work from home"
"S0802_C01_071E","Estimate!!Total!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!12:00 a.m. to 4:59 a.m."
"S0802_C01_071M","Margin of Error!!Total!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!12:00 a.m. to 4:59 a.m."
"S0802_C01_072E","Estimate!!Total!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!5:00 a.m. to 5:29 a.m."
"S0802_C01_072M","Margin of Error!!Total!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!5:00 a.m. to 5:29 a.m."
"S0802_C01_073E","Estimate!!Total!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!5:30 a.m. to 5:59 a.m."
"S0802_C01_073M","Margin of Error!!Total!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!5:30 a.m. to 5:59 a.m."
"S0802_C01_074E","Estimate!!Total!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!6:00 a.m. to 6:29 a.m."
"S0802_C01_074M","Margin of Error!!Total!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!6:00 a.m. to 6:29 a.m."
"S0802_C01_075E","Estimate!!Total!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!6:30 a.m. to 6:59 a.m."
"S0802_C01_075M","Margin of Error!!Total!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!6:30 a.m. to 6:59 a.m."
"S0802_C01_076E","Estimate!!Total!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!7:00 a.m. to 7:29 a.m."
"S0802_C01_076M","Margin of Error!!Total!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!7:00 a.m. to 7:29 a.m."
"S0802_C01_077E","Estimate!!Total!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!7:30 a.m. to 7:59 a.m."
"S0802_C01_077M","Margin of Error!!Total!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!7:30 a.m. to 7:59 a.m."
"S0802_C01_078E","Estimate!!Total!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!8:00 a.m. to 8:29 a.m."
"S0802_C01_078M","Margin of Error!!Total!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!8:00 a.m. to 8:29 a.m."
"S0802_C01_079E","Estimate!!Total!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!8:30 a.m. to 8:59 a.m."
"S0802_C01_079M","Margin of Error!!Total!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!8:30 a.m. to 8:59 a.m."
"S0802_C01_080E","Estimate!!Total!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!9:00 a.m. to 11:59 p.m."
"S0802_C01_080M","Margin of Error!!Total!!Workers 16 years and over who did not work from home!!TIME OF DEPARTURE TO GO TO WORK!!9:00 a.m. to 11:59 p.m."
"S0802_C01_081E","Estimate!!Total!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!Less than 10 minutes"
"S0802_C01_081M","Margin of Error!!Total!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!Less than 10 minutes"
"S0802_C01_082E","Estimate!!Total!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!10 to 14 minutes"
"S0802_C01_082M","Margin of Error!!Total!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!10 to 14 minutes"
"S0802_C01_083E","Estimate!!Total!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!15 to 19 minutes"
"S0802_C01_083M","Margin of Error!!Total!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!15 to 19 minutes"
"S0802_C01_084E","Estimate!!Total!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!20 to 24 minutes"
"S0802_C01_084M","Margin of Error!!Total!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!20 to 24 minutes"
"S0802_C01_085E","Estimate!!Total!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!25 to 29 minutes"
"S0802_C01_085M","Margin of Error!!Total!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!25 to 29 minutes"
"S0802_C01_086E","Estimate!!Total!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!30 to 34 minutes"
"S0802_C01_086M","Margin of Error!!Total!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!30 to 34 minutes"
"S0802_C01_087E","Estimate!!Total!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!35 to 44 minutes"
"S0802_C01_087M","Margin of Error!!Total!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!35 to 44 minutes"
"S0802_C01_088E","Estimate!!Total!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!45 to 59 minutes"
"S0802_C01_088M","Margin of Error!!Total!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!45 to 59 minutes"
"S0802_C01_089E","Estimate!!Total!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!60 or more minutes"
"S0802_C01_089M","Margin of Error!!Total!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!60 or more minutes"
"S0802_C01_090E","Estimate!!Total!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!Mean travel time to work (minutes)"
"S0802_C01_090M","Margin of Error!!Total!!Workers 16 years and over who did not work from home!!TRAVEL TIME TO WORK!!Mean travel time to work (minutes)"
"S0802_C01_091E","Estimate!!Total!!Workers 16 years and over in households"
"S0802_C01_091M","Margin of Error!!Total!!Workers 16 years and over in households"
"S0802_C01_092E","Estimate!!Total!!Workers 16 years and over in households!!HOUSING TENURE!!Owner-occupied housing units"
"S0802_C01_092M","Margin of Error!!Total!!Workers 16 years and over in households!!HOUSING TENURE!!Owner-occupied housing units"
"S0802_C01_093E","Estimate!!Total!!Workers 16 years and over in households!!HOUSING TENURE!!Renter-occupied housing units"
"S0802_C01_093M","Margin of Error!!Total!!Workers 16 years and over in households!!HOUSING TENURE!!Renter-occupied housing units"
"S0802_C01_094E","Estimate!!Total!!Workers 16 years and over in households!!VEHICLES AVAILABLE!!No vehicle available"
"S0802_C01_094M","Margin of Error!!Total!!Workers 16 years and over in households!!VEHICLES AVAILABLE!!No vehicle available"
"S0802_C01_095E","Estimate!!Total!!Workers 16 years and over in households!!VEHICLES AVAILABLE!!1 vehicle available"
"S0802_C01_095M","Margin of Error!!Total!!Workers 16 years and over in households!!VEHICLES AVAILABLE!!1 vehicle available"
"S0802_C01_096E","Estimate!!Total!!Workers 16 years and over in households!!VEHICLES AVAILABLE!!2 vehicles available"
"S0802_C01_096M","Margin of Error!!Total!!Workers 16 years and over in households!!VEHICLES AVAILABLE!!2 vehicles available"
"S0802_C01_097E","Estimate!!Total!!Workers 16 years and over in households!!VEHICLES AVAILABLE!!3 or more vehicles available"
"S0802_C01_097M","Margin of Error!!Total!!Workers 16 years and over in households!!VEHICLES AVAILABLE!!3 or more vehicles available"
"S0802_C01_098E","Estimate!!Total!!PERCENT ALLOCATED!!Means of transportation to work"
"S0802_C01_098M","Margin of Error!!Total!!PERCENT ALLOCATED!!Means of transportation to work"
"S0802_C01_099E","Estimate!!Total!!PERCENT ALLOCATED!!Time of departure to go to work"
"S0802_C01_099M","Margin of Error!!Total!!PERCENT ALLOCATED!!Time of departure to go to work"
"S0802_C01_100E","Estimate!!Total!!PERCENT ALLOCATED!!Travel time to work"
"S0802_C01_100M","Margin of Error!!Total!!PERCENT ALLOCATED!!Travel time to work"
"S0802_C01_101E","Estimate!!Total!!PERCENT ALLOCATED!!Vehicles available"
"S0802_C01_101M","Margin of Error!!Total!!PERCENT ALLOCATED!!Vehicles available"
"S0802_C02_001E","Estimate!!Car, truck, or van -- drove alone!!Workers 16 years and over"
"S0802_C02_001M","Margin of Error!!Car, truck, or van -- drove alone!!Workers 16 years and over"
"S0802_C02_002E","Estimate!!Car, truck, or van -- drove alone!!Workers 16 years and over!!AGE!!16 to 19 years"
"S0802_C02_002M","Margin of Error!!Car, truck, or van -- drove alone!!Workers 16 years and over!!AGE!!16 to 19 years"
"S0802_C02_003E","Estimate!!Car, truck, or van -- drove alone!!Workers 16 years and over!!AGE!!20 to 24 years"
"S0802_C02_003M","Margin of Error!!Car, truck, or van -- drove alone!!Workers 16 years and over!!AGE!!20 to 24 years"
"S0802_C02_004E","Estimate!!Car, truck, or van -- drove alone!!Workers 16 years and over!!AGE!!25 to 44 years"
"S0802_C02_004M","Margin of Error!!Car, truck, or van -- drove alone!!Workers 16 years and over!!AGE!!25 to 44 years"
"S0802_C02_005E","Estimate!!Car, truck, or van -- drove alone!!Workers 16 years and over!!AGE!!45 to 54 years"
"S0802_C02_005M","Margin of Error!!Car, truck, or van -- drove alone!!Workers 16 years and over!!AGE!!45 to 54 years"
